tag,arch,depth,width,params,seed,epoch,train_loss,test_loss,test_acc,seconds,train_eval_loss,train_eval_acc
sweep_mlp4w256_lr3e-4,mlp,4,256,400906,1,2,0.324770,0.586537,0.821000,0.824,nan,nan
sweep_mlp4w256_lr3e-4,mlp,4,256,400906,1,3,0.231311,0.523040,0.842400,0.970,nan,nan
sweep_mlp4w256_lr3e-4,mlp,4,256,400906,1,4,0.170803,0.492212,0.858700,1.105,nan,nan
sweep_mlp4w256_lr3e-4,mlp,4,256,400906,2,1,0.728933,0.731878,0.772000,0.945,nan,nan
sweep_mlp4w256_lr3e-4,mlp,4,256,400906,2,2,0.326226,0.595623,0.817400,0.966,nan,nan
sweep_mlp4w256_lr3e-4,mlp,4,256,400906,2,3,0.229624,0.516650,0.837600,1.179,nan,nan
sweep_mlp4w256_lr3e-4,mlp,4,256,400906,2,4,0.171999,0.437632,0.866300,0.716,nan,nan
sweep_mlp4w256_lr1e-3,mlp,4,256,400906,1,1,0.512897,0.573725,0.818600,1.132,nan,nan
sweep_mlp4w256_lr1e-3,mlp,4,256,400906,1,2,0.201864,0.431449,0.871000,0.956,nan,nan
sweep_mlp4w256_lr1e-3,mlp,4,256,400906,1,3,0.128485,0.360493,0.898200,1.006,nan,nan
sweep_mlp4w256_lr1e-3,mlp,4,256,400906,1,4,0.092028,0.402680,0.890300,1.090,nan,nan
sweep_mlp4w256_lr1e-3,mlp,4,256,400906,2,1,0.501824,0.510878,0.842900,0.859,nan,nan
sweep_mlp4w256_lr1e-3,mlp,4,256,400906,2,2,0.194067,0.429967,0.870500,1.006,nan,nan
sweep_mlp4w256_lr1e-3,mlp,4,256,400906,2,3,0.125072,0.375228,0.894400,1.161,nan,nan
sweep_mlp4w256_lr1e-3,mlp,4,256,400906,2,4,0.088946,0.387102,0.893200,1.289,nan,nan
sweep_mlp4w256_lr3e-3,mlp,4,256,400906,1,1,0.418654,0.510010,0.846800,1.313,nan,nan
sweep_mlp4w256_lr3e-3,mlp,4,256,400906,1,2,0.185181,0.464191,0.866500,1.043,nan,nan
sweep_mlp4w256_lr3e-3,mlp,4,256,400906,1,3,0.126977,0.429773,0.891800,1.000,nan,nan
sweep_mlp4w256_lr3e-3,mlp,4,256,400906,1,4,0.103421,0.459302,0.884300,1.078,nan,nan
sweep_mlp4w256_lr3e-3,mlp,4,256,400906,2,1,0.419946,0.475414,0.851800,1.232,nan,nan
sweep_mlp4w256_lr3e-3,mlp,4,256,400906,2,2,0.188035,0.404078,0.884500,1.166,nan,nan
sweep_mlp4w256_lr3e-3,mlp,4,256,400906,2,3,0.126857,0.422967,0.886400,1.249,nan,nan
sweep_mlp4w256_lr3e-3,mlp,4,256,400906,2,4,0.105156,0.439679,0.891000,1.369,nan,nan
sweep_mlp1w512_lr3e-4,mlp,1,512,407050,1,1,0.674848,0.755454,0.760900,0.841,nan,nan
sweep_mlp1w512_lr3e-4,mlp,1,512,407050,1,2,0.357954,0.634256,0.802000,0.646,nan,nan
sweep_mlp1w512_lr3e-4,mlp,1,512,407050,1,3,0.272022,0.554708,0.831600,0.648,nan,nan
sweep_mlp1w512_lr3e-4,mlp,1,512,407050,1,4,0.217673,0.487664,0.853300,0.712,nan,nan
sweep_mlp1w512_lr3e-4,mlp,1,512,407050,2,1,0.677901,0.749914,0.766000,0.535,nan,nan
sweep_mlp1w512_lr3e-4,mlp,1,512,407050,2,2,0.352797,0.643349,0.801100,0.722,nan,nan
sweep_mlp1w512_lr3e-4,mlp,1,512,407050,2,3,0.266250,0.539651,0.834900,0.863,nan,nan
sweep_mlp1w512_lr3e-4,mlp,1,512,407050,2,4,0.212796,0.481417,0.855000,0.749,nan,nan
sweep_mlp1w512_lr1e-3,mlp,1,512,407050,1,1,0.453881,0.531369,0.837500,0.954,nan,nan
sweep_mlp1w512_lr1e-3,mlp,1,512,407050,1,2,0.202128,0.432204,0.872300,0.612,nan,nan
sweep_mlp1w512_lr1e-3,mlp,1,512,407050,1,3,0.130971,0.372234,0.890200,0.645,nan,nan
sweep_mlp1w512_lr1e-3,mlp,1,512,407050,1,4,0.092682,0.364944,0.896100,0.617,nan,nan
sweep_mlp1w512_lr1e-3,mlp,1,512,407050,2,1,0.461267,0.537484,0.834800,0.741,nan,nan
sweep_mlp1w512_lr1e-3,mlp,1,512,407050,2,2,0.203927,0.452322,0.867400,0.717,nan,nan
sweep_mlp1w512_lr1e-3,mlp,1,512,407050,2,3,0.132101,0.387403,0.887200,0.676,nan,nan
sweep_mlp1w512_lr1e-3,mlp,1,512,407050,2,4,0.092197,0.362560,0.898400,0.896,nan,nan
sweep_mlp1w512_lr3e-3,mlp,1,512,407050,1,1,0.337020,0.440432,0.865600,1.037,nan,nan
sweep_mlp1w512_lr3e-3,mlp,1,512,407050,1,2,0.138941,0.372593,0.892300,0.682,nan,nan
